"id","dbogota","djamundi","d1993","d1995","d1997","vouch0","sex","age","mom_sch","mom_age","dad_sch","dad_age","stratams","rept6","totscyrs","finish6","finish7","finish8","usngsch","hoursum","working","married","haschild","test_tak","response","svy"
168,1,0,0,1,0,0,0,14,,37,,,1,0,4,1,1,1,0,0,0,0,0,0,1,0
173,1,0,0,1,0,0,0,14,3,46,4,52,0,0,4,1,1,1,0,0,0,0,0,0,1,0
176,1,0,0,1,0,0,0,14,7,34,7,38,0,0,4,1,1,1,0,0,0,0,0,0,1,0
177,1,0,0,1,0,1,1,13,2,36,5,40,0,0,4,1,1,1,0,0,0,0,0,1,1,0
183,1,0,0,1,0,0,1,16,5,45,7,47,0,0,4,1,1,1,0,0,0,0,0,0,1,0
185,1,0,0,1,0,1,1,18,,,5,54,0,0,0,1,0,0,0,40,1,0,0,0,1,0
186,1,0,0,1,0,0,0,14,7,30,7,33,0,0,4,1,1,1,0,0,0,0,0,1,1,0
187,1,0,0,1,0,0,0,14,2,52,2,53,0,0,4,1,1,1,0,0,0,0,0,0,1,0
192,1,0,0,1,0,0,0,14,,,,,1,0,4,1,1,1,0,0,0,0,0,0,1,0
193,1,0,0,1,0,0,0,15,6,30,5,39,0,0,2,1,0,0,0,40,1,0,0,0,1,0
196,1,0,0,1,0,1,1,17,6,36,5,42,0,0,4,1,1,1,1,0,0,0,0,1,1,0
198,1,0,0,1,0,1,1,14,11,34,,,0,0,4,1,1,1,1,0,0,0,0,1,1,0
199,1,0,0,1,0,0,0,14,5,46,5,45,0,0,2,1,1,0,0,0,1,0,0,0,1,0
201,1,0,0,1,0,1,1,15,3,33,,,0,0,4,1,1,1,0,0,0,0,0,1,1,0
204,1,0,0,1,0,0,1,13,6,38,3,38,0,1,2,1,0,0,0,0,0,0,0,0,1,0
205,1,0,0,1,0,1,1,15,4,40,1,66,0,1,4,1,0,0,0,0,0,0,0,0,1,0
207,1,0,0,1,0,0,1,14,,42,,40,1,1,4,1,1,0,0,0,0,0,0,0,1,0
209,1,0,0,1,0,1,0,18,3,58,4,59,0,0,1,0,0,0,0,0,1,0,0,0,1,0
