"year","school_id","student_id","treated","pair","m_ahim","boy","ole5","educav","educem","zakaibag","lagscore","semrel","semarab","att18","att20","att22","att24","awr18","awr20","awr22","awr24","achv_math","achv_eng","achv_hib"
2000,8,2140,0,15,2,1,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,21,2322,1,10,3,0,0,11,11,0,71,0,0,1,1,0,0,1,1,1,0,0,1,1
2000,21,2323,1,10,2,1,0,12,12,0,71,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,21,2324,1,10,2,0,0,8,12,1,77.9090881347656,0,0,1,1,1,0,1,1,0,0,1,1,1
2000,34,2415,1,20,5,0,0,10,7,1,75,0,1,1,1,1,0,1,1,1,0,1,1,1
2000,34,2444,1,20,11,1,0,6,7,0,31.6666660308838,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,34,2450,1,20,6,1,0,10,7,0,51.6666679382324,0,1,1,0,0,0,1,0,0,0,0,0,0
2000,34,2478,1,20,6,1,0,8,7,1,60.25,0,1,1,1,0,0,1,1,0,0,1,1,1
2000,36,2479,1,8,2,1,0,11,12,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,38,2481,1,13,3,1,0,12,12,1,55.3333320617676,0,0,1,1,0,0,1,1,0,0,0,1,1
2000,38,2482,1,13,2,0,0,10,12,1,67,0,0,1,1,1,0,1,1,1,0,0,1,1
2000,35,2485,1,7,3,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,35,2487,1,7,4,1,0,12,12,0,39.5714302062988,0,0,1,1,1,1,1,1,1,1,0,1,0
2000,34,2488,1,20,4,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,38,2491,1,13,3,1,0,10,11,0,59.75,0,0,1,1,0,0,1,1,0,0,0,1,1
2000,34,2500,1,20,8,1,0,8,7,1,69.1428604125977,0,1,1,1,1,0,1,1,0,0,1,1,1
2000,10,2515,1,15,3,0,0,15,15,1,85.375,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,34,4670,1,20,7,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,23,4675,0,11,2,0,0,10,12,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,8,4712,0,15,3,0,0,8,8,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,4715,0,18,8,0,0,8,7,0,32.5,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,34,4718,1,20,6,0,0,6,7,0,58.25,0,1,1,1,0,0,1,0,0,0,0,1,1
2000,34,4725,1,20,5,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,4760,0,18,4,0,0,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,4768,0,18,3,1,0,8,2,0,61,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,12,4771,0,1,3,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,3,4786,0,3,3,1,0,10,8,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,4787,1,11,4,1,0,12,12,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,4788,0,3,2,0,0,11,12,0,71.3333358764648,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,1,4792,0,2,1,0,0,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,24,4795,1,7,1,0,0,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,3,4797,0,3,2,1,0,11,10,0,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,4801,1,11,1,1,0,10,10,0,60.1666679382324,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,22,4809,1,18,2,1,0,8,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,20,4810,1,5,5,1,0,10,8,0,73.0999984741211,1,0,1,1,1,1,1,1,1,1,1,1,1
2000,22,4811,1,18,2,1,0,8,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5,4839,1,14,5,1,0,18,13,0,46,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,34,4852,1,20,7,1,0,8,7,0,51.375,0,1,1,1,1,1,1,1,1,1,0,0,1
2000,34,4856,1,20,8,1,0,8,7,1,60,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,34,4861,1,20,10,1,0,8,7,1,49.3333320617676,0,1,1,1,0,0,1,1,1,1,1,1,1
2000,34,4865,1,20,5,1,0,8,7,0,24.6666660308838,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,33,4868,0,19,4,1,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,34,4869,1,20,5,0,0,8,7,1,68.4000015258789,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,34,4870,1,20,10,0,0,1,7,1,69,0,1,1,1,0,0,1,1,0,0,1,0,1
2000,34,4871,1,20,16,0,0,4,8,0,49.7999992370605,0,1,1,0,0,0,1,1,1,0,1,0,1
2000,34,4872,1,20,4,0,0,8,7,0,58.6666679382324,0,1,0,0,0,0,1,0,0,0,0,0,1
2000,34,4873,1,20,7,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,35,4874,1,7,4,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,34,4875,1,20,9,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,34,4876,1,20,4,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,34,4878,1,20,9,0,0,8,9,1,66.75,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,34,4880,1,20,6,1,0,6,4,0,60.25,0,1,0,0,0,0,0,0,0,0,0,0,1
2000,34,4881,1,20,6,0,0,8,7,0,48.1666679382324,0,1,0,0,0,0,0,0,0,0,0,0,1
2000,34,4883,1,20,7,1,0,8,7,0,63,0,1,1,1,0,0,1,0,0,0,1,0,0
2000,34,4884,1,20,4,1,0,8,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,34,4885,1,20,12,1,0,7,7,1,57.8888893127441,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,27,4915,0,10,3,1,0,10,11,0,69,1,0,1,1,1,1,1,1,1,1,0,1,1
2000,36,4949,1,8,1,1,0,12,12,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,6,4982,0,18,6,0,0,5,8,1,78,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,6,4988,0,18,8,1,0,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,7,4989,0,12,5,1,0,8,7,1,68.1428604125977,0,1,1,1,1,1,1,1,1,1,1,0,1
2000,6,4995,0,18,10,1,0,9,2,0,46.75,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,5008,0,18,15,0,0,8,1,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,5013,0,18,7,1,0,6,6,0,41.5,0,1,1,1,1,1,1,1,1,1,1,0,1
2000,30,5023,0,20,1,0,0,11,10,0,56.4000015258789,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,7,5030,0,12,5,0,0,8,7,1,72,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,32,5036,0,13,1,0,0,11,12,0,57,0,0,1,0,0,0,0,0,0,0,0,1,1
2000,10,5037,1,15,1,1,0,12,12,1,63.8888893127441,0,0,1,1,1,1,1,1,1,1,1,1,1
2000,17,5038,1,2,2,0,0,10,10,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,32,5039,0,13,1,0,0,11,12,0,39.5,0,0,0,0,0,0,0,0,0,0,0,1,1
2000,36,5041,1,8,2,1,0,10,11,0,73,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,16,5103,0,9,4,0,0,8,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,14,5110,1,3,3,0,0,8,6,0,35.6666679382324,0,1,0,0,0,0,0,0,0,0,0,1,0
2000,14,5115,1,3,4,0,0,6,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,14,5118,1,3,6,1,0,10,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,7,5119,0,12,5,0,0,8,7,0,36,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,14,5120,1,3,2,0,0,16,8,0,62,0,1,1,1,0,0,1,1,0,0,0,1,1
2000,14,5121,1,3,5,0,0,9,11,0,63,0,1,1,1,1,1,1,1,1,1,0,1,1
2000,17,5128,1,2,4,1,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,16,5130,0,9,1,0,0,12,12,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,12,5137,0,1,1,0,0,4,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,5146,0,18,6,0,0,8,10,0,65.5,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,12,5151,0,1,3,0,0,3,3,0,19.6666660308838,0,1,1,1,0,0,0,0,0,0,0,0,0
2000,12,5155,0,1,6,1,0,4,4,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,5169,0,18,11,0,0,5,7,0,59.5,0,1,1,1,0,0,1,0,0,0,1,0,0
2000,12,5173,0,1,5,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,5177,0,18,7,0,0,6,5,0,67,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,8,5179,0,15,6,0,0,7,3,0,22.75,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,8,5181,0,15,5,0,0,8,6,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,5182,0,18,8,1,0,8,7,1,59,0,1,1,1,1,0,1,1,0,0,1,1,1
2000,8,5183,0,15,4,0,0,12,8,1,72.6666641235352,0,1,1,1,1,1,1,1,1,1,1,0,1
2000,12,5184,0,1,3,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,5185,0,18,3,0,0,8,9,0,55.5,0,1,1,1,1,0,1,1,1,0,0,1,0
2000,12,5186,0,1,4,1,0,4,4,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,8,5187,0,15,9,0,0,8,7,0,30.3333339691162,0,1,1,1,0,0,1,0,0,0,0,0,0
