"date","tothrs","avgwkhrs","avgwkhrs_adj","effhrsvw","effhrstorn","civnipop16","nipop16","nipop16_17","nipop18_21","nipop22_24","nipop25_34","nipop35_44","nipop45_54","nipop55_64","nipop65","gengovhrs","nprofhrs","bushrs","effhrs70","effhrs80","effhrs7080","rgdp","xbus","hrsbusindex","fisherdlp","dlp","ffr"
1991-10-01,215.491,21.5104001443611,21.3728290064099,183.029211653138,196.975507176224,191657,192653.6775,6843.3385,14491.682,11446.207,42685.232,39360.088,26515.428,20878.038,30433.664,33.577,15.589,164.939,203.793924522183,190.898854152647,197.346389337434,7154.1,97.072998046875,99.9089965820312,0.015514,0.226898226226041,4.81666660308838
1992-01-01,214.893,21.3849913770538,21.239800307837,182.772859839083,196.696806813435,192067,193245.703,6839.597,14476.378,11429.612,42612.028,39511.264,26943.39,20866.276,30567.158,33.895,15.533,164.035,203.32511935024,190.52050331358,196.922811331927,7228.2,98.8899993896484,99.3610000610352,0.016469,0.261705096314358,4.02333354949951
1992-04-01,215.911,21.4206735355306,21.2678789046788,183.818951329885,197.819906345468,192503,193837.7245,6835.8555,14461.073,11413.018,42538.824,39662.436,27371.352,20854.514,30700.652,33.879,15.565,164.918,204.381843442524,191.569694873038,197.975769157797,7297.9,99.4609985351562,99.8960037231445,0.01817,0.236965194017728,3.76999998092651
1992-07-01,215.868,21.3518997819696,21.1967183481447,183.962911173299,197.97198222335,193018,194423.341,6858.22,14460.701,11379.804,42443.912,39886.912,27696.998,20862.154,30834.64,33.468,15.641,165.158,204.429832897098,191.671541435635,198.050687166381,7369.5,100.449996948242,100.041999816895,0.013349,0.196070076552786,3.25666666030884
1992-10-01,217.113,21.4105545642079,21.2529815223426,185.205861686593,199.306561636904,193621,195008.961,6880.585,14460.328,11346.59,42349,40111.392,28022.644,20869.796,30968.626,33.669,15.717,166.246,205.692170906925,192.910148627334,199.301159767144,7450.7,101.181999206543,100.700996398926,0.015849,0.224641184667092,3.03666663169861
1993-01-01,218.594,21.4920628457264,21.3320942607546,186.652756488516,200.86041912465,194108,195594.569,6902.95,14459.956,11313.375,42254.084,40335.868,28348.288,20877.436,31102.612,33.868,15.841,167.433,207.172337792143,194.351704390812,200.762021091492,7459.7,100.406997680664,101.419998168945,0.0094326,0.337026298470221,3.03999996185303
1993-04-01,221.094,21.6729721274919,21.5106036377488,188.752283149529,203.116724321834,194549,196180.1855,6925.3145,14459.584,11280.161,42159.172,40560.344,28673.934,20885.076,31236.6,34.38,15.974,169.273,209.612228193238,196.692704495214,203.152466344241,7497.5,99.9509963989258,102.533996582031,0.012824,0.238508629455254,3
1993-07-01,221.422,21.6412238846526,21.476378249276,188.996176340521,203.376656990523,195063,196759.4535,6965.1825,14463.767,11227.712,42071.488,40777.952,28992.744,20917.616,31342.992,33.7,16.069,170.061,209.986248286336,197.094277916184,203.540263101275,7536,100.121002197266,103.011001586914,0.012057,0.186730207473488,3.05999994277954
1993-10-01,222.888,21.7205612637468,21.5532283505933,190.210233284025,204.681052819997,195625,197338.717,7005.051,14467.95,11175.262,41983.804,40995.56,29311.552,20950.154,31449.384,33.829,16.12,171.435,211.432616528718,198.501588157966,204.967102343358,7637.4,101.077003479004,103.84400177002,0.014625,0.228875149702304,2.99000000953674
1994-01-01,224.066,21.7714506709372,21.6016206350319,191.177195624859,205.720016638602,196090,197917.98,7044.919,14472.133,11122.812,41896.12,41213.164,29630.362,20982.692,31555.778,33.95,16.151,172.683,212.599521083862,199.64633117017,206.122926127032,7715.1,101.621002197266,104.599998474121,0.0095497,0.262596558800965,3.21333336830139
1994-04-01,227.408,22.0316947126177,21.8593572647053,194.076433002238,208.838397070132,196510,198497.248,7084.787,14476.316,11070.363,41808.436,41430.772,29949.172,21015.232,31662.17,33.997,16.244,175.77,215.814339642592,202.714805695325,209.264572668974,7815.7,101.380996704102,106.470001220703,0.010714,0.181911819559673,3.94000005722046
1994-07-01,229.539,22.1690564497248,21.9950899759829,195.943552159057,210.846004199307,197043,199115.896,7133.853,14487.236,11014.357,41732.208,41644.456,30277.564,21055.282,31770.94,34.048,16.379,177.751,217.875361481959,204.700647521551,211.288004501771,7859.5,100.797996520996,107.669998168945,0.015103,0.277204041206716,4.48666667938232
