"date","oil_supply_surprise","oil_supply_news_shock"
2017-09-01,0,0.360727080263299
2017-10-01,0,-0.422635798141745
2017-11-01,0.195585416934227,0.178267347914347
2017-12-01,0,-0.204071201899749
2018-01-01,0,0.754159269060249
2018-02-01,0,-0.348169378558413
2018-03-01,0,-0.0859135621535135
2018-04-01,0,0.31918627853668
2018-05-01,0,0.553107280919625
2018-06-01,-0.432980267551166,-0.735585632244794
2018-07-01,0,0.551329530626272
2018-08-01,0,-0.193466376151584
2018-09-01,0,0.585928468129556
2018-10-01,0,0.223032245407653
2018-11-01,0,-1.50389146905832
2018-12-01,2.05086021091864,-0.378827558791124
2019-01-01,0,0.491943148452525
2019-02-01,0,0.224022641302703
2019-03-01,0,-0.0915996294751711
2019-04-01,0,0.466543199368828
2019-05-01,0,-0.827869984274006
2019-06-01,0,-0.415777531837259
2019-07-01,-4.2671075877589,0.381611350188014
2019-08-01,0,-0.408193974889951
2019-09-01,0,0.429910139811008
2019-10-01,0,-0.180601138847638
2019-11-01,0,0.546009152219688
2019-12-01,1.06884660571403,0.366501831697332
2020-01-01,0,1.05279929552308
2020-02-01,0,-1.05506302754843
2020-03-01,-8.01957189515517,-1.78120149861348
2020-04-01,3.04969309690317,1.21073136515375
2020-05-01,0,0.972862636042631
2020-06-01,-3.16703595747933,-0.658113183014817
2020-07-01,0,-0.176591278813417
2020-08-01,0,-0.552102483658666
2020-09-01,0,-0.479121575101957
2020-10-01,0,-0.272887301231686
2020-11-01,0,-0.0797621050234749
2020-12-01,0.541997573418293,-0.000177524937544346
2021-01-01,3.87481703173906,-0.535438639726093
2021-02-01,0,0.270629331169729
2021-03-01,3.51769876940008,0.383868001173819
2021-04-01,5.94459646102155,0.54043298888701
2021-05-01,0,0.841380480374704
2021-06-01,2.26964848260953,0.490313225560594
2021-07-01,-9.88215883588293,0.157339146596396
2021-08-01,0,-0.435978863406999
2021-09-01,0.418148418081726,1.29653464609892
2021-10-01,2.33831955909969,0.967830858826013
2021-11-01,-1.0324059454352,-0.424980509893211
2021-12-01,1.68475792317493,-0.217297197311218
2022-01-01,1.47652664775537,0.83347851074493
2022-02-01,0.628106636684926,0.337156605835489
2022-03-01,0.978633225469011,1.12625499508765
2022-04-01,0,-0.58169966414187
2022-05-01,0.443538128213323,0.907770486587735
2022-06-01,-2.16025377334538,0.435446200647861
2022-07-01,0,-1.54197909711317
2022-08-01,-2.92243072498011,-0.532052402992746
2022-09-01,0.534412545447719,-0.404112643471877
2022-10-01,2.4412022204703,0.603795606293226
2022-11-01,0,-0.446507206421127
2022-12-01,-2.89649840356888,-0.652656396260717
2023-01-01,0,0.0228160771523033
2023-02-01,0,-0.236931119860713
2023-03-01,0,-0.547238413427019
2023-04-01,0,0.657024891353136
2023-05-01,0,-1.05422909679988
2023-06-01,0.441692943047201,0.375558199797996
2023-07-01,0,0.102648271100283
2023-08-01,0,0.341501083051188
2023-09-01,0,0.702962985914161
2023-10-01,0,-0.15926517468574
2023-11-01,-2.48307965607873,-0.58020737543538
2023-12-01,0,0.0391272184362814
2024-01-01,0,1.21773997625619
2024-02-01,0,-0.029998041809239
2024-03-01,-0.252075405316366,0.634348986917243
2024-04-01,0,0.377192823744588
2024-05-01,0,-0.849332993437522
2024-06-01,-3.03693527371446,-0.00655585772838374
2024-07-01,0,0.152890344927316
2024-08-01,0,-0.459048971518059
2024-09-01,0.5296352753362,0.00239449123604207
2024-10-01,0,0.237378671444419
2024-11-01,2.44111669681572,-0.0823652199640763
2024-12-01,0.131955047893453,0.0119977443353058
2025-01-01,0,0.753144249162011
2025-02-01,0,-0.882206966858712
2025-03-01,-1.20448596136148,-0.0574959727734784
2025-04-01,-6.24209259744739,-0.572277039001264
2025-05-01,2.4495729338092,-0.0980346275841214
2025-06-01,0,0.663450793572285
2025-07-01,1.16112360845895,-0.25959949589033
2025-08-01,-0.512057389433078,0.325132775637531
2025-09-01,0.967847310003606,0.0431271406801987
2025-10-01,1.37290773192038,0.0426246457999403
2025-11-01,0.591851000300456,-0.37801611150638
2025-12-01,1.46480091730086,-0.336251677400647
